tair name	gene symbol	gene description	GO terms (HSF)
AT1G32928 	 	 	GO:0033554:cellular response to stress|GO:0009628:response to abiotic stimulus|GO:0001666:response to hypoxia|GO:0036293:response to decreased oxygen levels|GO:0070482:response to oxygen levels|GO:0036294:cellular response to decreased oxygen levels|GO:0071453:cellular response to oxygen levels|GO:0071456:cellular response to hypoxia|GO:0051716:cellular response to stimulus|GO:0070887:cellular response to chemical stimulus
AT3G44720 	ADT4 	Encodes a plastid-localized arogenate dehydratase involved in phenylalanine biosynthesis.  Not less than six genes encoding ADT were identi&#64257;ed in the Arabidopsis genome: ADT1 [At1g11790]; ADT2 [At3g07630]; ADT3 [At2g27820]; ADT4 [At3g44720]; ADT5 [At5g22630]; and ADT6 [At1g08250]. 	GO:0009628:response to abiotic stimulus
AT2G32140 	 	 	
AT4G12710 	 	 	
AT5G55970 	 	 	
AT3G18690 	MKS1 	Encodes a nuclear-localized member of a plant specific gene family involved in mediating responses to pathogens. Interacts with WRKY transcriptional regulators. 	GO:0051716:cellular response to stimulus|GO:0002376:immune system process
AT5G01100 	FRB1 	 	
AT3G04220 	 	 	GO:0051716:cellular response to stimulus
AT4G12720 	AtNUDT7 GFG1 NUDT7 	Encodes a protein with ADP-ribose hydrolase activity. Negatively regulates EDS1-conditioned plant defense and programmed cell death. 	GO:0033554:cellular response to stress|GO:0009628:response to abiotic stimulus|GO:0001666:response to hypoxia|GO:0036293:response to decreased oxygen levels|GO:0070482:response to oxygen levels|GO:0036294:cellular response to decreased oxygen levels|GO:0071453:cellular response to oxygen levels|GO:0071456:cellular response to hypoxia|GO:0051716:cellular response to stimulus|GO:0070887:cellular response to chemical stimulus|GO:0002376:immune system process|GO:0042493:response to drug
AT5G56030 	AtHsp90.2 ERD8 HSP81-2 HSP81.2 HSP90.2 	A member of heat shock protein 90 (HSP90) gene family. Expressed in all tissues and abundant in root apical meristem, pollen and tapetum. Expression is NOT heat-induced but induced by IAA and NaCl. Interacts with HsfA1d in the cytosol and the nucleus and negatively regulates HsfA1d. Did not bind to  AtHsfA4c. 	GO:0009408:response to heat|GO:0006457:protein folding|GO:0009266:response to temperature stimulus|GO:0033554:cellular response to stress|GO:0061077:chaperone-mediated protein folding|GO:0009628:response to abiotic stimulus|GO:0010286:heat acclimation|GO:0051716:cellular response to stimulus|GO:0034605:cellular response to heat|GO:0002376:immune system process
AT2G26150 	ATHSFA2 HSFA2 	member of Heat Stress Transcription Factor (Hsf) family. Involved in response to misfolded protein accumulation in the cytosol. Regulated by alternative splicing and non-sense-mediated decay. 	GO:0009408:response to heat|GO:0009266:response to temperature stimulus|GO:0033554:cellular response to stress|GO:0009628:response to abiotic stimulus|GO:0010286:heat acclimation|GO:0001666:response to hypoxia|GO:0036293:response to decreased oxygen levels|GO:0070482:response to oxygen levels|GO:0036294:cellular response to decreased oxygen levels|GO:0071453:cellular response to oxygen levels|GO:0071456:cellular response to hypoxia|GO:0051716:cellular response to stimulus|GO:0034605:cellular response to heat|GO:0010557:positive regulation of macromolecule biosynthetic process|GO:0010628:positive regulation of gene expression|GO:0031328:positive regulation of cellular biosynthetic process|GO:0009891:positive regulation of biosynthetic process|GO:0070887:cellular response to chemical stimulus|GO:0010604:positive regulation of macromolecule metabolic process|GO:0051173:positive regulation of nitrogen compound metabolic process|GO:0031325:positive regulation of cellular metabolic process|GO:0045893:positive regulation of transcription, DNA-templated|GO:1902680:positive regulation of RNA biosynthetic process|GO:1903508:positive regulation of nucleic acid-templated transcription|GO:0009893:positive regulation of metabolic process|GO:0042493:response to drug|GO:0045935:positive regulation of nucleobase-containing compound metabolic process|GO:0051254:positive regulation of RNA metabolic process
AT4G10040 	CYTC-2 	Encodes cytochrome c. Promoter directs preferential expression in vascular tissues of cotyledons, leaves, roots, and hypocotyls, and in anthers. 	
AT3G15770 	 	 	
AT4G24160 	 	Encodes a soluble lysophosphatidic acid acyltransferase with additional triacylglycerol lipase and phosphatidylcholine hydrolyzing enzymatic activities. Plays a pivotal role in maintaining the lipid homeostasis by regulating both phospholipid and neutral lipid levels. 	GO:0033554:cellular response to stress|GO:0009628:response to abiotic stimulus|GO:0001666:response to hypoxia|GO:0036293:response to decreased oxygen levels|GO:0070482:response to oxygen levels|GO:0036294:cellular response to decreased oxygen levels|GO:0071453:cellular response to oxygen levels|GO:0071456:cellular response to hypoxia|GO:0051716:cellular response to stimulus|GO:0070887:cellular response to chemical stimulus
AT1G17590 	NF-YA8 	 	
AT1G20310 	 	 	
AT5G18150 	 	 	
AT1G26800 	MPSR1 	 	GO:0033554:cellular response to stress|GO:0009628:response to abiotic stimulus|GO:0001666:response to hypoxia|GO:0036293:response to decreased oxygen levels|GO:0070482:response to oxygen levels|GO:0036294:cellular response to decreased oxygen levels|GO:0071453:cellular response to oxygen levels|GO:0071456:cellular response to hypoxia|GO:0051716:cellular response to stimulus|GO:0070887:cellular response to chemical stimulus
AT1G70530 	CRK3 	Encodes a cysteine-rich receptor-like protein kinase. 	
AT2G40095 	 	 	
AT4G23570 	SGT1A 	Closely related to SGT1B, may function in SCF(TIR1) mediated protein degradation. AtSGT1a and AtSGT1b are functionally redundant in the resistance to pathogenes. AtSGT1b was more highly  expressed than AtSGT1. The N-terminal TPR domain of  AtSGT1a reduces the steady-state level of Arabidopsis SGT1  proteins whereas the same domain from AtSGT1b enhances  SGT1 accumulation. The TPR domain is dispensable for SGT1 resistance. AtSGT1a is induced upon pathogen infection and can function in R gene-mediated resistance. 	GO:0033554:cellular response to stress|GO:0009628:response to abiotic stimulus|GO:0001666:response to hypoxia|GO:0036293:response to decreased oxygen levels|GO:0070482:response to oxygen levels|GO:0036294:cellular response to decreased oxygen levels|GO:0071453:cellular response to oxygen levels|GO:0071456:cellular response to hypoxia|GO:0051716:cellular response to stimulus|GO:0070887:cellular response to chemical stimulus|GO:0002376:immune system process
AT1G68340 	 	 	
AT1G71000 	 	 	
AT2G41100 	ATCAL4 CML12 TCH3 	encodes a calmodulin-like protein, with six potential calcium binding domains. Calcium binding shown by Ca(2+)-specific shift in electrophoretic mobility. Expression induced by touch and darkness. Expression may also be developmentally controlled. Expression in growing regions of roots, vascular tissue, root/shoot junctions, trichomes, branch points of the shoot, and regions of siliques and flowers. 	GO:0009266:response to temperature stimulus|GO:0033554:cellular response to stress|GO:0009628:response to abiotic stimulus|GO:0001666:response to hypoxia|GO:0036293:response to decreased oxygen levels|GO:0070482:response to oxygen levels|GO:0036294:cellular response to decreased oxygen levels|GO:0071453:cellular response to oxygen levels|GO:0071456:cellular response to hypoxia|GO:0051716:cellular response to stimulus|GO:0070887:cellular response to chemical stimulus
AT1G01940 	 	 	GO:0006457:protein folding
AT1G55530 	 	 	
AT4G18250 	 	 	
AT3G01430 	 	 	
AT2G27580 	SAP3 	 	GO:0009408:response to heat|GO:0009266:response to temperature stimulus|GO:0009628:response to abiotic stimulus
AT3G09440 	 	 	GO:0009408:response to heat|GO:0006457:protein folding|GO:0009266:response to temperature stimulus|GO:0033554:cellular response to stress|GO:0061077:chaperone-mediated protein folding|GO:0009628:response to abiotic stimulus|GO:0051716:cellular response to stimulus|GO:0070887:cellular response to chemical stimulus
AT5G41610 	ATCHX18 CHX18 	member of Putative Na+/H+ antiporter family 	
AT3G15518 	 	 	
AT1G73080 	ATPEPR1 PEPR1 	Encodes a leucine-rich repeat receptor kinase.  Functions as a receptor for AtPep1 to amplify innate immunity response to pathogen attacks. 	GO:0002376:immune system process
AT5G05410 	DREB2 DREB2A 	Encodes a transcription factor that specifically binds to DRE/CRT cis elements (responsive to drought and low-temperature stress).  Belongs to the DREB subfamily A-2 of ERF/AP2 transcription factor family (DREB2A). There are eight members in this subfamily including DREB2B.  The protein contains one AP2 domain. Overexpression of transcriptional activation domain of DREB2A resulted in significant drought stress tolerance but only slight freezing tolerance in transgenic Arabidopsis plants. Microarray and RNA gel blot analyses revealed that DREB2A regulates expression of many water stressinducible genes. 	GO:0009408:response to heat|GO:0009266:response to temperature stimulus|GO:0033554:cellular response to stress|GO:0009628:response to abiotic stimulus|GO:0010286:heat acclimation|GO:0001666:response to hypoxia|GO:0036293:response to decreased oxygen levels|GO:0070482:response to oxygen levels|GO:0036294:cellular response to decreased oxygen levels|GO:0071453:cellular response to oxygen levels|GO:0071456:cellular response to hypoxia|GO:0051716:cellular response to stimulus|GO:0010557:positive regulation of macromolecule biosynthetic process|GO:0010628:positive regulation of gene expression|GO:0031328:positive regulation of cellular biosynthetic process|GO:0009891:positive regulation of biosynthetic process|GO:0070887:cellular response to chemical stimulus|GO:0010604:positive regulation of macromolecule metabolic process|GO:0051173:positive regulation of nitrogen compound metabolic process|GO:0031325:positive regulation of cellular metabolic process|GO:0045893:positive regulation of transcription, DNA-templated|GO:1902680:positive regulation of RNA biosynthetic process|GO:1903508:positive regulation of nucleic acid-templated transcription|GO:0009893:positive regulation of metabolic process|GO:0042493:response to drug|GO:0045935:positive regulation of nucleobase-containing compound metabolic process|GO:0051254:positive regulation of RNA metabolic process
AT3G11820 	AT-SYR1 ATSYP121 ATSYR1 PEN1 SYP121 SYR1 	Encodes a syntaxin localized at the plasma membrane (SYR1, Syntaxin Related Protein 1, also known as SYP121, PENETRATION1/PEN1).  SYR1/PEN1 is a member of the SNARE superfamily proteins.  SNARE proteins are involved in cell signaling, vesicle traffic, growth and development.  SYR1/PEN1 functions in positioning anchoring of the KAT1 K+ channel protein at the plasma membrane. Transcription is upregulated by abscisic acid, suggesting a role in ABA signaling.  Also functions in non-host resistance against barley powdery mildew, Blumeria graminis sp. hordei.  SYR1/PEN1 is a nonessential component of the preinvasive resistance against Colletotrichum fungus. Required for mlo resistance. 	GO:0033554:cellular response to stress|GO:0051716:cellular response to stimulus|GO:0070887:cellular response to chemical stimulus|GO:0002376:immune system process|GO:0042493:response to drug
AT3G55470 	 	 	
AT1G48260 	CIPK17 SnRK3.21 	Encodes a member of the SNF1-related kinase (SnRK) gene family (SnRK3.21), which has also been reported as a member of the CBL-interacting protein kinases (CIPK17). 	GO:0051716:cellular response to stimulus
AT4G18880 	AT-HSFA4A HSF 	member of Heat Stress Transcription Factor (Hsf) family 	GO:0009408:response to heat|GO:0009266:response to temperature stimulus|GO:0033554:cellular response to stress|GO:0009628:response to abiotic stimulus|GO:0051716:cellular response to stimulus|GO:0034605:cellular response to heat|GO:0010557:positive regulation of macromolecule biosynthetic process|GO:0010628:positive regulation of gene expression|GO:0031328:positive regulation of cellular biosynthetic process|GO:0009891:positive regulation of biosynthetic process|GO:0010604:positive regulation of macromolecule metabolic process|GO:0051173:positive regulation of nitrogen compound metabolic process|GO:0031325:positive regulation of cellular metabolic process|GO:0045893:positive regulation of transcription, DNA-templated|GO:1902680:positive regulation of RNA biosynthetic process|GO:1903508:positive regulation of nucleic acid-templated transcription|GO:0009893:positive regulation of metabolic process|GO:0042493:response to drug|GO:0045935:positive regulation of nucleobase-containing compound metabolic process|GO:0051254:positive regulation of RNA metabolic process
AT3G09830 	PCRK1 	 	GO:0051716:cellular response to stimulus
AT5G45630 	 	 	GO:0033554:cellular response to stress|GO:0009628:response to abiotic stimulus|GO:0001666:response to hypoxia|GO:0036293:response to decreased oxygen levels|GO:0070482:response to oxygen levels|GO:0036294:cellular response to decreased oxygen levels|GO:0071453:cellular response to oxygen levels|GO:0071456:cellular response to hypoxia|GO:0051716:cellular response to stimulus|GO:0070887:cellular response to chemical stimulus
AT1G15430 	 	 	
AT1G59860 	 	 	GO:0009408:response to heat|GO:0006457:protein folding|GO:0009266:response to temperature stimulus|GO:0033554:cellular response to stress|GO:0009628:response to abiotic stimulus|GO:0001666:response to hypoxia|GO:0036293:response to decreased oxygen levels|GO:0070482:response to oxygen levels|GO:0036294:cellular response to decreased oxygen levels|GO:0071453:cellular response to oxygen levels|GO:0071456:cellular response to hypoxia|GO:0051716:cellular response to stimulus|GO:0070887:cellular response to chemical stimulus|GO:0042493:response to drug
AT1G74080 	ATMYB122 MYB122 	Encodes a putative transcription factor, member of the R2R3 factor gene family (MYB122). 	
AT3G21700 	ATSGP2 SGP2 	Monomeric G protein. Expressed in root epidermal cells that are destined to become atrichoblasts. Also expressed during pollen development and in the pollen tube tip. 	GO:0051716:cellular response to stimulus
AT3G52870 	 	 	
AT3G26980 	MUB4 	 	
AT5G02500 	AT-HSC70-1 AtHsp70-1 HSC70 HSC70-1 HSP70-1 	encodes a member of heat shock protein 70 family. 	GO:0009408:response to heat|GO:0006457:protein folding|GO:0009266:response to temperature stimulus|GO:0033554:cellular response to stress|GO:0061077:chaperone-mediated protein folding|GO:0009628:response to abiotic stimulus|GO:0051716:cellular response to stimulus|GO:0070887:cellular response to chemical stimulus
AT5G09590 	HSC70-5 MTHSC70-2 	heat shock protein 70 (Hsc70-5); nuclear 	GO:0009408:response to heat|GO:0006457:protein folding|GO:0009266:response to temperature stimulus|GO:0033554:cellular response to stress|GO:0061077:chaperone-mediated protein folding|GO:0009628:response to abiotic stimulus|GO:0051716:cellular response to stimulus|GO:0070887:cellular response to chemical stimulus
AT5G12930 	 	 	
AT1G10230 	ASK18 SK18 	 	
AT2G21790 	ATRNR1 CLS8 DPD2 R1 RNR1 	encodes large subunit of ribonucleotide reductase involved in the production of deoxyribonucleoside triphosphates (dNTPs) for DNA replication and repair 	
AT3G05320 	AtOFT1 OFT1 	 	
AT3G24500 	ATMBF1C MBF1C 	One of three genes in A. thaliana encoding multiprotein bridging factor 1, a highly conserved transcriptional coactivator.  May serve as a bridging factor between a bZIP factor and TBP.  Its expression is specifically elevated in response to pathogen infection, salinity, drought, heat, hydrogen peroxide, and application of abscisic acid or salicylic acid.  Constitutive expression enhances the tolerance of transgenic plants to various biotic and abiotic stresses. 	GO:0009408:response to heat|GO:0009266:response to temperature stimulus|GO:0033554:cellular response to stress|GO:0009628:response to abiotic stimulus|GO:0001666:response to hypoxia|GO:0036293:response to decreased oxygen levels|GO:0070482:response to oxygen levels|GO:0036294:cellular response to decreased oxygen levels|GO:0071453:cellular response to oxygen levels|GO:0071456:cellular response to hypoxia|GO:0051716:cellular response to stimulus|GO:0010557:positive regulation of macromolecule biosynthetic process|GO:0010628:positive regulation of gene expression|GO:0031328:positive regulation of cellular biosynthetic process|GO:0009891:positive regulation of biosynthetic process|GO:0070887:cellular response to chemical stimulus|GO:0010604:positive regulation of macromolecule metabolic process|GO:0051173:positive regulation of nitrogen compound metabolic process|GO:0031325:positive regulation of cellular metabolic process|GO:0045893:positive regulation of transcription, DNA-templated|GO:1902680:positive regulation of RNA biosynthetic process|GO:1903508:positive regulation of nucleic acid-templated transcription|GO:0009893:positive regulation of metabolic process|GO:0045935:positive regulation of nucleobase-containing compound metabolic process|GO:0051254:positive regulation of RNA metabolic process
AT3G09405 	AtPAE4 PAE4 	 	
AT2G42950 	 	 	
AT4G04540 	CRK39 	Encodes a cysteine-rich receptor-like protein kinase. 	
AT4G24730 	 	 	
AT1G74310 	ATHSP101 HOT1 HSP101 	Encodes ClpB1, which belongs to the Casein lytic proteinase/heat shock protein 100 (Clp/Hsp100) family.  Involved in refolding of proteins which form aggregates under heat stress. Also known as AtHsp101.  AtHsp101 is a cytosolic heat shock protein required for acclimation to high temperature. 	GO:0009408:response to heat|GO:0009266:response to temperature stimulus|GO:0033554:cellular response to stress|GO:0009628:response to abiotic stimulus|GO:0001666:response to hypoxia|GO:0036293:response to decreased oxygen levels|GO:0070482:response to oxygen levels|GO:0036294:cellular response to decreased oxygen levels|GO:0071453:cellular response to oxygen levels|GO:0071456:cellular response to hypoxia|GO:0051716:cellular response to stimulus|GO:0010557:positive regulation of macromolecule biosynthetic process|GO:0010628:positive regulation of gene expression|GO:0031328:positive regulation of cellular biosynthetic process|GO:0009891:positive regulation of biosynthetic process|GO:0070887:cellular response to chemical stimulus|GO:0010604:positive regulation of macromolecule metabolic process|GO:0051173:positive regulation of nitrogen compound metabolic process|GO:0031325:positive regulation of cellular metabolic process|GO:0009893:positive regulation of metabolic process
AT2G20780 	 	 	
AT3G25230 	ATFKBP62 FKBP62 ROF1 	Encodes a a high molecular weight member of the FK506 binding protein (FKBP) family.  It has three FKBP12-like domains, tetratricopeptide repeats, and a putative calmodulin binding domain. Modulates thermotolerance by interacting with HSP90.1 and affecting the accumulation of HsfA2-regulated sHSPs. 	GO:0009408:response to heat|GO:0006457:protein folding|GO:0009266:response to temperature stimulus|GO:0033554:cellular response to stress|GO:0061077:chaperone-mediated protein folding|GO:0009628:response to abiotic stimulus|GO:0010286:heat acclimation|GO:0051716:cellular response to stimulus|GO:0034605:cellular response to heat
AT3G12050 	 	 	GO:0006457:protein folding
AT1G29340 	ATPUB17 PUB17 	Encodes a protein containing a UND, a U-box, and an ARM domain. This protein has E3 ubiquitin ligase activity. It is required for cell death and full resistance specified by Arabidopsis RPM1 and RPS4 resistance proteins  against Pseudomonas syringae pv tomato. 	GO:0033554:cellular response to stress|GO:0051716:cellular response to stimulus|GO:0002376:immune system process
AT5G13100 	 	 	
AT2G37890 	 	 	
AT5G53830 	MVQ3 	 	
AT1G51790 	 	 	
AT5G04410 	anac078 NAC2 NAC78 NTL11 	NAC family member, functions as a transcriptional activator, regulates flavonoid biosynthesis under high light. 	GO:0009628:response to abiotic stimulus|GO:0010557:positive regulation of macromolecule biosynthetic process|GO:0010628:positive regulation of gene expression|GO:0031328:positive regulation of cellular biosynthetic process|GO:0009891:positive regulation of biosynthetic process|GO:0010604:positive regulation of macromolecule metabolic process|GO:0051173:positive regulation of nitrogen compound metabolic process|GO:0031325:positive regulation of cellular metabolic process|GO:0045893:positive regulation of transcription, DNA-templated|GO:1902680:positive regulation of RNA biosynthetic process|GO:1903508:positive regulation of nucleic acid-templated transcription|GO:0009893:positive regulation of metabolic process|GO:0045935:positive regulation of nucleobase-containing compound metabolic process|GO:0051254:positive regulation of RNA metabolic process
AT5G48570 	ATFKBP65 FKBP65 ROF2 	 	GO:0009408:response to heat|GO:0006457:protein folding|GO:0009266:response to temperature stimulus|GO:0033554:cellular response to stress|GO:0061077:chaperone-mediated protein folding|GO:0009628:response to abiotic stimulus|GO:0010286:heat acclimation|GO:0051716:cellular response to stimulus|GO:0034605:cellular response to heat
AT4G23550 	ATWRKY29 WRKY29 	Encodes WRKY DNA-binding protein 29 (WRKY29). 	GO:0042493:response to drug
AT5G52640 	ATHS83 AtHsp90-1 ATHSP90.1 HSP81-1 HSP81.1 HSP83 HSP90.1 	Encodes a cytosolic heat shock protein AtHSP90.1.  AtHSP90.1 interacts with disease resistance signaling components SGT1b and RAR1 and is required for RPS2-mediated resistance. 	GO:0009408:response to heat|GO:0006457:protein folding|GO:0009266:response to temperature stimulus|GO:0033554:cellular response to stress|GO:0061077:chaperone-mediated protein folding|GO:0009628:response to abiotic stimulus|GO:0051716:cellular response to stimulus|GO:0034605:cellular response to heat|GO:0002376:immune system process
AT1G61660 	AtbHLH112 	 	GO:0033554:cellular response to stress|GO:0009628:response to abiotic stimulus|GO:0051716:cellular response to stimulus|GO:0010557:positive regulation of macromolecule biosynthetic process|GO:0010628:positive regulation of gene expression|GO:0031328:positive regulation of cellular biosynthetic process|GO:0009891:positive regulation of biosynthetic process|GO:0070887:cellular response to chemical stimulus|GO:0010604:positive regulation of macromolecule metabolic process|GO:0051173:positive regulation of nitrogen compound metabolic process|GO:0031325:positive regulation of cellular metabolic process|GO:0045893:positive regulation of transcription, DNA-templated|GO:1902680:positive regulation of RNA biosynthetic process|GO:1903508:positive regulation of nucleic acid-templated transcription|GO:0009893:positive regulation of metabolic process|GO:0045935:positive regulation of nucleobase-containing compound metabolic process|GO:0051254:positive regulation of RNA metabolic process
AT3G07090 	 	 	
AT3G10820 	 	 	
AT3G14620 	CYP72A8 	putative cytochrome P450 	
AT3G44110 	ATJ ATJ3 J3 	homologous to the co-chaperon DNAJ protein from E coli 	GO:0009408:response to heat|GO:0006457:protein folding|GO:0009266:response to temperature stimulus|GO:0009628:response to abiotic stimulus
AT3G44400 	 	 	GO:0051716:cellular response to stimulus
AT5G35320 	 	 	
AT5G38895 	 	 	GO:0042493:response to drug
AT1G22403 	 	 	
AT3G25070 	AtRIN4 RIN4 	Encodes a member of the R protein complex and may represent a virulence target of type III pili effector proteins (virulence factors) from bacterial pathogens, which is 'guarded' by R protein complex (RPM1 and RPS2 proteins). RIN4 physically interacts with RPS2 and RPM1 in vivo. Bacterial avirulence (Avr) effectors AvrB, AvrRpm1, and AvrRpt2 induce a mobility shift in RIN4 and expression of AvrRpt2 induces rapid degradation of RIN4. RIN4 contains 2 sites for AvrRpt2 autocleavage, called RCS1 and RCS2. Overexpression of RIN4 inhibits multiple phenotypes associated with AvrRpt2 function and also inhibits PAMP-induced defense signaling. Attached to the plasma membrane at its carboxyl terminus. Cleaved  by AvrRpt2 at two PxFGxW motifs, one releasing a large portion of RIN4 from the  plasma membrane and both exposing amino-terminal residues that destabilized the carboxyl-terminal cleavage products by targeting them for N-end ubiquitylation and proteasomal degradation. Major virulence target of the TTSE HopF2Pto. 	GO:0033554:cellular response to stress|GO:0051716:cellular response to stimulus|GO:0002376:immune system process
AT1G10050 	 	Encodes a putative glycosyl hydrolase family 10 protein (xylanase). 	
AT1G79920 	AtHsp70-15 Hsp70-15 	 	
AT1G72540 	 	 	
AT4G11480 	CRK32 	Encodes a cysteine-rich receptor-like protein kinase. 	
AT4G28480 	 	 	GO:0006457:protein folding|GO:0061077:chaperone-mediated protein folding
AT2G20560 	DNAJ 	 	GO:0006457:protein folding|GO:0061077:chaperone-mediated protein folding
AT4G23220 	CRK14 	Encodes a cysteine-rich receptor-like protein kinase. 	
AT5G47220 	ATERF-2 ATERF2 ERF2 	Encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family (ATERF-2). The protein contains one AP2 domain. Functions as activator of GCC boxdependent transcription. Positive regulator of JA-responsive defense genes and resistance to  F. oxysporum and enhances JA inhibition of root elongation. 	GO:0051716:cellular response to stimulus|GO:0010557:positive regulation of macromolecule biosynthetic process|GO:0010628:positive regulation of gene expression|GO:0031328:positive regulation of cellular biosynthetic process|GO:0009891:positive regulation of biosynthetic process|GO:0070887:cellular response to chemical stimulus|GO:0002376:immune system process|GO:0010604:positive regulation of macromolecule metabolic process|GO:0051173:positive regulation of nitrogen compound metabolic process|GO:0031325:positive regulation of cellular metabolic process|GO:0045893:positive regulation of transcription, DNA-templated|GO:1902680:positive regulation of RNA biosynthetic process|GO:1903508:positive regulation of nucleic acid-templated transcription|GO:0009893:positive regulation of metabolic process|GO:0042493:response to drug|GO:0045935:positive regulation of nucleobase-containing compound metabolic process|GO:0051254:positive regulation of RNA metabolic process
AT1G33730 	CYP76C5 	member of CYP76C 	
AT5G58110 	 	 	GO:0006457:protein folding
AT2G41160 	UBAC2B 	 	GO:0009408:response to heat|GO:0009266:response to temperature stimulus|GO:0009628:response to abiotic stimulus|GO:0010286:heat acclimation|GO:0002376:immune system process
AT1G47480 	 	 	
AT4G17615 	ATCBL1 CBL1 SCABP5 	Member of AtCBL (Calcineurin B-like Calcium Sensor Proteins) family. Protein level is increased upon high salt, mannitol, and cold stresses. CBL1 interacts with CIPK23 and recruits the kinase to the plasma membrane where the substrate(s) of CIPK23 may reside. CBL1 localization is regulated by protein modification including myristolation and acylation. 	GO:0009266:response to temperature stimulus|GO:0009628:response to abiotic stimulus|GO:0051716:cellular response to stimulus|GO:0070887:cellular response to chemical stimulus
AT1G11100 	FRG5 	 	
AT1G18740 	 	 	GO:0009266:response to temperature stimulus|GO:0009628:response to abiotic stimulus
AT5G66620 	DAR6 	 	
