Locus Identifier	Gene Model Name	Gene Model Description	Gene Model Type	Primary Gene Symbol	All Gene Symbols
AT4G17615	AT4G17615.1	Member of AtCBL (Calcineurin B-like Calcium Sensor Proteins) family. Protein level is increased upon high salt, mannitol, and cold stresses. CBL1 interacts with CIPK23 and recruits the kinase to the plasma membrane where the substrate(s) of CIPK23 may reside. CBL1 localization is regulated by protein modification including myristolation and acylation.	protein_coding	CALCINEURIN B-LIKE PROTEIN 1 (CBL1)	CALCINEURIN B-LIKE PROTEIN 1 (CBL1);SOS3-LIKE CALCIUM BINDING PROTEIN 5 (SCABP5);ARABIDOPSIS THALIANA CALCINEURIN B-LIKE PROTEIN (ATCBL1)	
AT2G41010	AT2G41010.1	Encodes a novel calmodulin binding protein whose gene expression is induced by dehydration and ionic (salt) and non-ionic (mannitol) osmotic stress. Lines over-expressing this gene are more sensitive and anti-sense lines are more tolerant to osmotic stress, suggesting this gene may be a negative regulator of response to osmotic stress.	protein_coding	CALMODULIN (CAM)-BINDING PROTEIN OF 25 KDA (CAMBP25)	CALMODULIN (CAM)-BINDING PROTEIN OF 25 KDA (CAMBP25);CALMODULIN (CAM)-BINDING PROTEIN OF 25 KDA (ATCAMBP25)	
AT5G01490	AT5G01490.1	Encodes a cation/proton antiporter, a member of low affinity calcium antiporter CAX2 family. Involved in root development under metal stress.	protein_coding	CATION EXCHANGER 4 (CAX4)	 (ATCAX4);CATION EXCHANGER 4 (CAX4)	
AT1G29690	AT1G29690.1	Encodes a protein containing a domain with significant homology to the MACPF (membrane attack complex and perforin) domain of complements and perforin proteins that are involved in innate immunity in animals. Transgenic <i>cad1-1</i> mutant plants show lesions seen in the hypersensitive response, as well as a spontaneous activation of expression of pathogenesis-related genes and leading to a 32-fold increase in salicylic acid (SA). CAD1 is postulated to act as a negative regulator controlling SA-mediated pathway of programmed cell death in plant immunity.	protein_coding	CONSTITUTIVELY ACTIVATED CELL DEATH 1 (CAD1)	CONSTITUTIVELY ACTIVATED CELL DEATH 1 (CAD1);CONSTITUTIVE ACTIVE DEFENSE 1 (CAD1);NECROTIC SPOTTED LESION 2 (NSL2)	
AT5G64660	AT5G64660.1	CYS, MET, PRO, and GLY protein 2;(source:Araport11)	protein_coding	CYS, MET, PRO, AND GLY PROTEIN 2 (CMPG2)	CYS, MET, PRO, AND GLY PROTEIN 2 (CMPG2); (ATCMPG2)	
AT4G21400	AT4G21400.1	Encodes a cysteine-rich receptor-like protein kinase.	protein_coding	CYSTEINE-RICH RLK (RECEPTOR-LIKE PROTEIN KINASE) 28 (CRK28)	CYSTEINE-RICH RLK (RECEPTOR-LIKE PROTEIN KINASE) 28 (CRK28)	
AT5G66620	AT5G66620.1	DA1-related protein 6;(source:Araport11)	protein_coding	DA1-RELATED PROTEIN 6 (DAR6)	DA1-RELATED PROTEIN 6 (DAR6)	
AT5G03210	AT5G03210.1	Encodes a small polypeptide contributing to resistance to potyvirus.	protein_coding	DBP-INTERACTING PROTEIN 2 (DIP2)	 (ATDIP2);DBP-INTERACTING PROTEIN 2 (DIP2)	
AT5G05410	AT5G05410.1	Encodes a transcription factor that specifically binds to DRE/CRT cis elements (responsive to drought and low-temperature stress).  Belongs to the DREB subfamily A-2 of ERF/AP2 transcription factor family (DREB2A). There are eight members in this subfamily including DREB2B.  The protein contains one AP2 domain. Overexpression of transcriptional activation domain of DREB2A resulted in significant drought stress tolerance but only slight freezing tolerance in transgenic Arabidopsis plants. Microarray and RNA gel blot analyses revealed that DREB2A regulates expression of many water stress?inducible genes. The mRNA is cell-to-cell mobile.	protein_coding	DRE-BINDING PROTEIN 2A (DREB2A)	DEHYDRATION-RESPONSIVE ELEMENT BINDING PROTEIN 2 (DREB2);DRE-BINDING PROTEIN 2A (DREB2A)	
AT1G08930	AT1G08930.1	encodes a putative sucrose transporter whose gene expression is induced by dehydration and cold. The mRNA is cell-to-cell mobile.	protein_coding	EARLY RESPONSE TO DEHYDRATION 6 (ERD6)	EARLY RESPONSE TO DEHYDRATION 6 (ERD6)	
AT5G58430	AT5G58430.1	A member of EXO70 gene family, putative exocyst subunits, conserved in land plants. Arabidopsis thaliana contains 23 putative EXO70 genes, which can be classified into eight clusters on the phylogenetic tree.  Targeted by AvrPtoB to manipulate the defense molecule secretion machinery.	protein_coding	EXOCYST SUBUNIT EXO70 FAMILY PROTEIN B1 (EXO70B1)	EXOCYST SUBUNIT EXO70 FAMILY PROTEIN B1 (EXO70B1);EXOCYST SUBUNIT EXO70 FAMILY PROTEIN B1 (ATEXO70B1)	
AT5G13200	AT5G13200.1	Encodes a protein with unknown function that is involved in hormone mediated regulation of seed germination/dormancy.	protein_coding	GEM-RELATED 5 (GER5)	GEM-RELATED 5 (GER5)	
AT5G13190	AT5G13190.1	Encodes a plasma membrane localized LITAF domain protein that interacts with LSD1 and acts as a negative regulation of hypersensitive cell death.	protein_coding	GSH-INDUCED LITAF DOMAIN PROTEIN (GILP)	 (AtGILP);GSH-INDUCED LITAF DOMAIN PROTEIN (GILP)	
AT1G74310	AT1G74310.1	Encodes ClpB1, which belongs to the Casein lytic proteinase/heat shock protein 100 (Clp/Hsp100) family.  Involved in refolding of proteins which form aggregates under heat stress. Also known as AtHsp101.  AtHsp101 is a cytosolic heat shock protein required for acclimation to high temperature.	protein_coding	HEAT SHOCK PROTEIN 101 (HSP101)	HEAT SHOCK PROTEIN 101 (ATHSP101);HEAT SHOCK PROTEIN 101 (HSP101); (HOT1)	
AT1G51670	AT1G51670.1	hypothetical protein;(source:Araport11)	protein_coding	HEAT-INDUCED TAS1 TARGET 5 (HTT5)	HEAT-INDUCED TAS1 TARGET 5 (HTT5)	
AT4G12400	AT4G12400.2	Encodes one of the 36 carboxylate clamp (CC)-tetratricopeptide repeat (TPR) proteins (Prasad 2010, Pubmed ID: 20856808) with potential to interact with Hsp90/Hsp70 as co-chaperones.	protein_coding	HOP3 (Hop3)	HOP3 (Hop3)	
AT1G25550	AT1G25550.1	Member of HHO/HRS GARP type transcriptional repressor family. Involved in Pi uptake and Pi starvation signaling. Transcriptional repressors that functions with other NIGT genes as an important hub in the nutrient signaling network associated with the acquisition and use of nitrogen and phosphorus.	protein_coding	HRS1 HOMOLOG3 (HHO3)	HRS1 HOMOLOG3 (HHO3);NITRATE-INDUCIBLE, GARP-TYPE TRANSCRIPTIONAL REPRESSOR 1/HYPERSENSITIVE TO LOW PI-ELICITED PRIMARY ROOT SHORTENING 1.1 (NIGT1.1)	
AT1G21100	AT1G21100.1	O-methyltransferase family protein;(source:Araport11)	protein_coding	INDOLE GLUCOSINOLATE O-METHYLTRANSFERASE 1 (IGMT1)	INDOLE GLUCOSINOLATE O-METHYLTRANSFERASE 1 (IGMT1)	
AT4G29440	AT4G29440.1	Regulator of Vps4 activity in the MVB pathway protein;(source:Araport11)	protein_coding	IST1-LIKE 4 (ISTL4)	IST1-LIKE 4 (ISTL4)	
AT3G02550	AT3G02550.1	LOB domain-containing protein 41;(source:Araport11)	protein_coding	LOB DOMAIN-CONTAINING PROTEIN 41 (LBD41)	LOB DOMAIN-CONTAINING PROTEIN 41 (LBD41)	
AT1G70170	AT1G70170.1	Matrix metalloprotease. Expression induced by  fungal and bacterial pathogens. Mutants are late flowering with early senescence.	protein_coding	MATRIX METALLOPROTEINASE (MMP)	MATRIX METALLOPROTEINASE (MMP); (AT2-MMP)	
AT3G26980	AT3G26980.1	membrane-anchored ubiquitin-fold protein 4 precursor;(source:Araport11)	protein_coding	MEMBRANE-ANCHORED UBIQUITIN-FOLD PROTEIN 4 PRECURSOR (MUB4)	MEMBRANE-ANCHORED UBIQUITIN-FOLD PROTEIN 4 PRECURSOR (MUB4)	
AT1G16520	AT1G16520.1	NAI1 interacting protein, involved in ER body and vesicle formation.	protein_coding	NAI2-INTERACTING PROTEIN 2 (NAIP2)	NAI2-INTERACTING PROTEIN 2 (NAIP2)	
AT4G25030	AT4G25030.1	Plastid localized protein of unknown function. Mutants are more susceptible to P. syringae and produce less callose upon infection.	protein_coding	NON HOST RESISTANCE 2B (ATNHR2B)	NON HOST RESISTANCE 2B (ATNHR2B)	
AT3G05320	AT3G05320.1	Golgi localized protein with similarity to protein O-fucosyltransferases. Mutants show lower seed set/reduced fertility. Mutant pollen fails to compete with wild type due to the inability to penetrate the stigma-style boundary.	protein_coding	O-FUCOSYL TRANSFERASE 1 (OFT1)	O-FUCOSYL TRANSFERASE 1 (OFT1); (ATOFT1)	
AT1G17750	AT1G17750.1	Encodes PEPR2, a plasma membrane leucine-rich repeat receptor kinase functioning as a receptor for the Pep1 and Pep2 peptides.  Pep1 and Pep2 are amino acids that induce the transcription of defense-related genes.	protein_coding	PEP1 RECEPTOR 2 (PEPR2)	PEP1 RECEPTOR 2 (AtPEPR2);PEP1 RECEPTOR 2 (PEPR2)	
AT2G01180	AT2G01180.1	Encodes phosphatidate phosphatase. Up-regulated by genotoxic stress (gamma ray or UV-B) and elicitor treatments with mastoparan and harpin. Expressed in roots and leaves.	protein_coding	PHOSPHATIDIC ACID PHOSPHATASE 1 (PAP1)	LIPID PHOSPHATE PHOSPHATASE 1 (LPP1);PHOSPHATIDIC ACID PHOSPHATASE 1 (PAP1);PHOSPHATIDIC ACID PHOSPHATASE 1 (ATPAP1); (ATLPP1)	
AT2G26560	AT2G26560.1	Encodes a lipid acyl hydrolase with wide substrate  specificity that accumulates upon infection by fungal  and bacterial pathogens. Protein is localized in the cytoplasm in healthy leaves, and in membranes in infected cells. Plays a role in cell death and differentially affects the accumulation of oxylipins. Contributes to resistance to virus.	protein_coding	PHOSPHOLIPASE A 2A (PLA2A)	PHOSPHOLIPASE A 2A (PLP2); (PLAII ALPHA);PHOSPHOLIPASE A 2A (PLA2A);PATATIN-LIKE PROTEIN 2 (PLP2);PHOSPHOLIPASE A 2A (PLA IIA)	
AT4G37290	AT4G37290.1	Encoding a precursor protein of a secreted peptide that is responsive to flg22 stimulus.	protein_coding	PRECURSOR OF PAMP-INDUCED PEPTIDE 2 (PREPIP2)	PAMP-INDUCED SECRETED PEPTIDE 2 (PIP2);PRECURSOR OF PAMP-INDUCED PEPTIDE 2 (PREPIP2)	
AT2G38360	AT2G38360.1	prenylated RAB acceptor 1.B4;(source:Araport11)	protein_coding	PRENYLATED RAB ACCEPTOR 1.B4 (PRA1.B4)	PRENYLATED RAB ACCEPTOR 1.B4 (PRA1.B4)	
AT1G30755	AT1G30755.1	elongation factor G, putative (DUF668);(source:Araport11)	protein_coding	PSK SIMULATOR 2 (PSI2)	PSK SIMULATOR 2 (PSI2)	
AT5G47910	AT5G47910.1	NADPH/respiratory burst oxidase protein D (RbohD).Interacts with AtrbohF gene to fine tune the spatial control of ROI production and hypersensitive response to cell in and around infection site. The mRNA is cell-to-cell mobile.	protein_coding	RESPIRATORY BURST OXIDASE HOMOLOGUE D (RBOHD)	 (DELT1); (ATRBOHD);RESPIRATORY BURST OXIDASE HOMOLOGUE D (RBOHD)	
AT5G59820	AT5G59820.1	Encodes a zinc finger protein involved in high light and cold acclimation. Overexpression of this putative transcription factor increases the expression level of 9 cold-responsive genes and represses the expression level of 15 cold-responsive genes, including CBF genes. Also, lines overexpressing this gene exhibits a small but reproducible increase in freeze tolerance. Because of the repression of the CBF genes by the overexpression of this gene, the authors speculate that this gene may be involved in negative regulatory circuit of the CBF pathway. The mRNA is cell-to-cell mobile.	protein_coding	RESPONSIVE TO HIGH LIGHT 41 (RHL41)	RESPONSIVE TO HIGH LIGHT 41 (RHL41); (ATZAT12); (ZAT12)	
AT4G11370	AT4G11370.1	Encodes a putative RING-H2 finger protein RHA1a.	protein_coding	RING-H2 FINGER A1A (RHA1A)	RING-H2 FINGER A1A (RHA1A)	
AT2G47140	AT2G47140.1	NAD(P)-binding Rossmann-fold superfamily protein;(source:Araport11)	protein_coding	SHORT-CHAIN DEHYDROGENASE REDUCTASE 5 (SDR5)	 (ATSDR5);SHORT-CHAIN DEHYDROGENASE REDUCTASE 5 (SDR5)	
AT1G11100	AT1G11100.2	SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-like protein;(source:Araport11)	protein_coding	SNF2-RING-HELICASE?LIKE 5 (FRG5)	SNF2-RING-HELICASE?LIKE 5 (FRG5)	
AT5G24590	AT5G24590.2	Member of NAc protein family. Interacts with  turnip crinkle virus (TCV) capsid protein. Transcription factor  involved in regulating the defense response of Arabidopsis to TCV.	protein_coding	TCV-INTERACTING PROTEIN (TIP)	ARABIDOPSIS NAC DOMAIN CONTAINING PROTEIN 91 (ANAC091);TCV-INTERACTING PROTEIN (TIP); (ANAC91)	
AT1G16090	AT1G16090.1	Encodes a truncated WAK-like kinase that is predicted to be a secreted protein.	protein_coding	WALL ASSOCIATED KINASE-LIKE 7 (WAKL7)	WALL ASSOCIATED KINASE-LIKE 7 (WAKL7)	
AT2G14620	AT2G14620.1	xyloglucan endotransglucosylase/hydrolase 10;(source:Araport11)	protein_coding	XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE 10 (XTH10)	XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE 10 (XTH10)	

